MicronMicron ID,Connections available,UL Out and DL In,DL Out and UL In,UL Whole Frame Delay,DL/UL Time Tag Delay,Chain ID
(#),(N/S/E/W),(N/S/E/W),(N/S/E/W),(frames),(frames),(1-8)
4,E,E,,1,?,3
5,E/W,E,W,2,?,3
6,E/W,E,W,3,?,3
7,N/E/W,N,E/W,4,?,3
8,N/E/W,W,E,3,?,3
9,E/W,W,E,2,?,3
10,E/W,W,E,1,?,3
11,W,W,,0,?,3
18,N/E,N,,2,?,3
19,N/E/W,N,,3,?,3
20,N/E/W,N,,4,?,3
21,N/S/E/W,E,S,5,?,3
22,N/S/E/W,N,W,6,?,3
23,N/E/W,N,,7,?,3
24,N/E/W,N,,8,?,3
25,N/W,N,,9,?,3
30,N/E,E,,1,?,3
31,E/W,E,W,2,?,3
32,S/E/W,E,S/W,3,?,3
33,S/E/W,E,S/W,4,?,3
34,S/E/W,E,S/W,5,?,3
35,S/E/W,E,W,6,?,3
36,S/E/W,E,S/W,7,?,3
37,S/E/W,E,S/W,8,?,3
38,S/E/W,E,S/W,9,?,3
39,S/E/W,E,S/W,10,?,3
40,E/W,E,W,11,?,3
41,N/W,N,W,12,?,3
44,N/S/E,N,,12,?,3
45,N/E/W,N,,13,?,3
46,N/E/W,N,,14,?,3
47,N/E/W,N,,15,?,3
48,N/E/W,E,N,18,?,3
49,N/E/W,E,W,19,?,3
50,N/E/W,N,E/W,20,?,3
51,N/E/W,W,N,19,?,3
52,N/E/W,N,,16,?,3
53,N/E/W,N,,15,?,3
54,N/E/W,N,,14,?,3
55,N/S/W,N,S,13,?,3
58,S/E,E,S,13,?,3
59,S/E/W,E,S/W,14,?,3
60,S/E/W,E,S/W,15,?,3
61,S/E/W,E,S/W,16,?,3
62,S/E/W,S,W,17,?,3
63,N/S/E/W,N,E,22,?,3
64,N/S/E/W,W,S,21,?,3
65,S/E/W,S,E,18,?,3
66,S/E/W,W,S/E,17,?,3
67,S/E/W,W,S/E,16,?,3
68,S/E/W,W,S/E,15,?,3
69,S/W,W,S,14,?,3
72,N/E,E,N,18,?,3
73,N/E/W,E,N/W,19,?,3
74,N/E/W,E,N/W,20,?,3
75,N/E/W,E,N/W,21,?,3
76,N/E/W,E,N/W,22,?,3
77,N/S/E/W,E,S/W,23,?,3
78,N/S/E/W,E,W,24,?,3
79,N/E/W,N,E/W,25,?,3
80,N/E/W,W,N/E,24,?,3
81,N/E/W,W,N/E,23,?,3
82,N/E/W,W,N,22,?,3
83,N/W,N,,15,?,7
86,N/S/E,S,N,17,?,3
87,S/E/W,S,,18,?,3
88,S/E/W,S,,19,?,3
89,S/E/W,S,,20,?,3
90,S/E/W,S,,21,?,3
93,S/E/W,W,S,26,?,3
94,S/E/W,S,,23,?,3
95,S/E/W,S,,22,?,3
96,S/E/W,S,,21,?,3
97,N/S/W,N,S,16,?,7
100,N/S/E,S,N,16,?,3
101,N/E/W,N,,21,?,7
102,N/E/W,N,,22,?,7
103,N/E/W,N,,23,?,7
104,N/E/W,E,N,26,?,7
107,N/E/W,N,,21,?,7
108,N/E/W,N,E,20,?,7
109,N/E/W,W,N,19,?,7
110,N/E/W,N,,18,?,7
111,N/S/W,N,S,17,?,7
114,S/E,S,,15,?,3
115,S/E/W,E,S,22,?,7
116,S/E/W,E,S/W,23,?,7
117,S/E/W,E,S/W,24,?,7
118,S/E/W,S,E/W,25,?,7
119,N/S/E/W,W,E,24,?,7
120,N/S/E/W,W,N/E,23,?,7
121,S/E/W,W,S/E,22,?,7
122,S/E/W,W,S,21,?,7
123,S/E/W,S,E,20,?,7
124,S/E/W,W,S/E,19,?,7
125,S/W,W,S,18,?,7
128,N/E,E,N,14,?,7
129,N/E/W,E,N/W,15,?,7
130,N/E/W,E,N/W,16,?,7
131,N/E/W,E,N/W,17,?,7
132,N/E/W,N,W,18,?,7
133,N/S/E/W,E,N,21,?,7
134,N/S/E/W,S,W,22,?,7
135,N/E/W,N,E,17,?,7
136,N/E/W,W,N/E,16,?,7
137,N/E/W,W,N/E,15,?,7
138,N/E/W,W,N/E,14,?,7
139,N/W,W,N,13,?,7
142,N/S/E,S,N,13,?,7
143,S/E/W,S,,14,?,7
144,S/E/W,S,,15,?,7
145,S/E/W,S,,16,?,7
146,S/E/W,E,S,19,?,7
147,S/E/W,S,E/W,20,?,7
148,S/E/W,W,E,19,?,7
149,S/E/W,W,S,18,?,7
150,S/E/W,S,,15,?,7
151,S/E/W,S,,14,?,7
152,S/E/W,S,,13,?,7
153,N/S/W,S,,12,?,7
156,S/E,S,E,12,?,7
157,E/W,W,E,11,?,7
158,N/E/W,W,N/E,10,?,7
159,N/E/W,W,N/E,9,?,7
160,N/E/W,W,N/E,8,?,7
161,N/E/W,W,N/E,7,?,7
162,N/E/W,W,E,6,?,7
163,N/E/W,W,N/E,5,?,7
164,N/E/W,W,N/E,4,?,7
165,N/E/W,W,N/E,3,?,7
166,E/W,W,E,2,?,7
167,S/W,W,,1,?,7
172,S/E,S,,9,?,7
173,S/E/W,S,,8,?,7
174,S/E/W,S,,7,?,7
175,N/S/E/W,S,E,6,?,7
176,N/S/E/W,W,N,5,?,7
177,S/E/W,S,,4,?,7
178,S/E/W,S,,3,?,7
179,S/W,S,,2,?,7
186,E,E,,0,?,7
187,E/W,E,W,1,?,7
188,E/W,E,W,2,?,7
189,S/E/W,E,W,3,?,7
190,S/E/W,S,E/W,4,?,7
191,E/W,W,E,3,?,7
192,E/W,W,E,2,?,7
193,W,W,,1,?,7
