MICRON_ID,By ring,RING_A,RING_B,RING_C,RING_D,RING_E,RING_F,Defualt_map
193,,,,,,,,0x3
192,,,,,,,,0x33
191,,,,,,,,0x33
190,,,,,,,,0x3030
189,,,,,,,,0x3003
188,,,,,,,,0x33
187,,,,,,,,0x33
186,,,,,,,,0x30
179,,,,,,,,0x3003
178,,,,,,,,0x33
177,,,,,,,,0x33
176,,,,,,,,0x330
175,,,,,,,,0x303
174,,,,,,,,0x33
173,,,,,,,,0x33
172,,,,,,,,0x3030
167,,,,,,,,0x3003
166,,,,,,,,0x33
165,,,,,,,,0x333
164,,,,,,,,0x33
163,,,,,,,,0x33
162,,,,,,,,0x30
161,,,,,,,,0x3
160,,,,,,,,0x33
159,,,,,,,,0x33
158,,,,,,,,0x333
157,,,,,,,,0x33
156,,,,,,,,0x3030
153,,,,,,,,0x303
152,,,,,,,,0x33
151,0x0003,,,,,,,0x33
150,0x0033,,,,,,,0x33
149,0x0033,,,,,,,0x33
148,0x3030,,,,,,,0x3030
147,0x3003,,,,,,,0x3003
146,0x0033,,,,,,,0x33
145,0x0033,,,,,,,0x33
144,0x0030,,,,,,,0x33
143,,,,,,,,0x33
142,,,,,,,,0x330
139,,,,,,,,0x3
138,,,,,,,,0x33
137,0x0003,,,,,,,0x33
136,0x0003,,,,,,,0x33
135,0x0033,,,,,,,0x33
134,0x3030,,,,,,,0x3330
133,0x3003,,,,,,,0x3303
132,0x0033,,,,,,,0x33
131,0x0003,,,,,,,0x0033
130,0x0030,,,,,,,0x33
129,,,,,,,,0x33
128,,,,,,,,0x30
125,,,,,,,,0x3
124,,,,,,,,0x33
123,0x0003,,,,,,,0x33
122,0x0003,,,,,,,0x33
121,0x3000,,,,,,,0x3030
120,0x3000,,,,,,,0x3300
119,0x3000,,,,,,,0x3300
118,0x3000,,,,,,,0x3003
117,0x0030,,,,,,,0x33
116,0x0030,,,,,,,0x33
115,,,,,,,,0x33
114,,,,,,,,0x30
111,,,,,,,,0x3
110,,,,,,,,0x33
109,0x0003,,,,,,,0x33
108,0x0003,,,,,,,0x33
107,0x0303,,,,,,,0x333
104,0x0330,,,,,,,0x333
103,0x0030,,,,,,,0x33
102,0x0030,,,,,,,0x33
101,,,,,,,,0x33
100,,,,,,,,0x30
97,,,,,,,,0x3
96,,,,,,,,0x33
95,0x0003,,,,,,,0x33
94,0x0003,,,,,,,0x33
93,0x3003,,,,,,,0x3033
90,0x3030,,,,,,,0x3033
89,,,,,,,,0x33
88,0x0030,,,,,,,0x33
87,,,,,,,,0x33
86,,,,,,,,0x30
83,,,,,,,,0x3
82,,,,,,,,0x33
81,0x0003,,,,,,,0x33
80,0x0003,,,,,,,0x33
79,0x0300,,,,,,,0x330
78,0x0300,,,,,,,0x3300
77,0x0300,,,,,,,0x3300
76,0x0300,,,,,,,0x0303
75,0x0030,,,,,,,0x33
74,0x0030,,,,,,,0x33
73,,,,,,,,0x33
72,,,,,,,,0x30
69,,,,,,,,0x3
68,,,,,,,,0x33
67,0x0003,,,,,,,0x33
66,0x0003,,,,,,,0x33
65,0x0003,,,,,,,0x33
64,0x0330,,,,,,,0x3330
63,0x0303,,,,,,,0x3303
62,0x0033,,,,,,,0x33
61,0x0030,,,,,,,0x33
60,0x0030,,,,,,,0x33
59,,,,,,,,0x33
58,,,,,,,,0x30
55,,,,,,,,0x3003
54,,,,,,,,0x33
53,0x0003,,,,,,,0x33
52,0x0033,,,,,,,0x33
51,0x0033,,,,,,,0x33
50,0x0330,,,,,,,0x330
49,0x0303,,,,,,,0x303
48,0x0033,,,,,,,0x33
47,0x0033,,,,,,,0x33
46,0x0030,,,,,,,0x33
45,0x0030,,,,,,,0x33
44,,,,,,,,0x3030
41,,,,,,,,0x303
40,,,,,,,,0x33
39,,,,,,,,0x3033
38,,,,,,,,0x33
37,,,,,,,,0x33
36,,,,,,,,0x30
35,,,,,,,,0x3
34,,,,,,,,0x33
33,,,,,,,,0x33
32,,,,,,,,0x3033
31,,,,,,,,0x33
30,,,,,,,,0x330
25,,,,,,,,0x303
24,,,,,,,,0x33
23,,,,,,,,0x33
22,,,,,,,,0x3030
21,,,,,,,,0x3003
20,,,,,,,,0x33
19,,,,,,,,0x33
18,,,,,,,,0x330
11,,,,,,,,0x3
10,,,,,,,,0x33
9,,,,,,,,0x33
8,,,,,,,,0x33
7,,,,,,,,0x33
6,,,,,,,,0x33
5,,,,,,,,0x33
4,,,,,,,,0x30
